timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260311115835111813,510,221,106,0
20260311115836120531,430,221,86,0
20260311115837104336,427,221,86,0
20260311115838103938,434,221,88,0
20260311115839100629,466,221,96,0
20260311115840102777,465,221,95,0
20260311115841103592,465,221,95,0
20260311115842103412,465,221,96,0
20260311115843105082,466,221,96,0
20260311115844105654,465,221,96,0
20260311115845112252,456,221,94,0
20260311115846109676,455,221,94,0
20260311115847110264,455,221,93,0
20260311115848117038,455,221,93,0
20260311115849116677,455,221,93,0
20260311115850114440,455,221,94,0
20260311115851116933,455,222,94,0
20260311115852132368,455,221,94,0
20260311115853117583,456,221,94,0
20260311115854119883,455,221,93,0
20260311115855121549,455,221,94,0
20260311115856120761,456,221,94,0
20260311115857124550,408,221,82,0
