timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260311120221632767,541,222,114,1
20260311120222636226,541,222,114,1
20260311120223634150,598,221,127,0
20260311120224637765,598,222,127,0
20260311120225641427,603,222,128,0
20260311120226641069,603,222,128,0
20260311120227643180,599,222,127,0
20260311120228644390,594,222,126,0
20260311120229645203,597,222,126,0
20260311120230647889,596,222,126,0
20260311120231651987,594,222,126,0
20260311120232651269,604,221,128,0
20260311120233651435,595,222,126,0
20260311120234653935,595,222,126,0
20260311120235654067,597,222,126,0
20260311120236656536,597,222,126,0
20260311120237655744,598,221,126,0
20260311120238657028,607,221,128,0
20260311120239657675,597,221,126,0
20260311120240661150,597,221,126,0
20260311120241664851,599,222,127,0
20260311120242667607,610,222,129,0
20260311120243668882,631,221,134,0
