timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260311122350488769,538,220,112,0
20260311122351491526,538,220,112,0
20260311122352492700,606,219,127,0
20260311122353494112,606,220,127,0
20260311122354495267,609,219,128,0
20260311122355496167,607,219,127,0
20260311122356498486,606,219,127,0
20260311122357498526,615,219,129,0
20260311122358499304,595,219,125,0
20260311122359500712,594,219,124,0
20260311122400503409,594,219,124,0
20260311122401506066,593,219,124,0
20260311122402504779,594,219,124,0
20260311122403506066,601,220,126,0
20260311122404506280,595,220,125,0
20260311122405507621,594,220,125,0
20260311122406508978,595,219,125,0
20260311122407510215,594,220,125,0
20260311122408512578,594,220,125,0
20260311122409513905,604,220,127,0
20260311122410513401,595,220,125,0
