timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260311115907743716,480,221,99,0
20260311115908746098,398,222,80,0
20260311115909741495,398,222,80,0
20260311115910746668,463,222,95,0
20260311115911747198,465,222,96,0
20260311115912747188,467,222,96,0
20260311115913752285,467,221,96,0
20260311115914753838,468,221,96,0
20260311115915753093,467,221,96,0
20260311115916755942,467,222,96,0
20260311115917756034,467,221,96,0
20260311115918759575,467,222,96,0
20260311115919760311,465,222,96,0
20260311115920761411,472,222,97,0
