loop_bandwidth_limit	mean_goodput
250	208.7292734939589
500	398.2979817102191
750	549.8984592735358
1000	650.2824984630599
1250	724.428127791691
1500	745.162973974184
1750	814.075561402495
2000	839.9729690928598
