timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260311124032036651,503,219,104,0
20260311124033039492,425,219,85,0
20260311124034036340,407,220,81,0
20260311124035042164,441,220,89,0
20260311124036043333,483,219,99,0
20260311124037063346,482,220,99,0
20260311124038046141,481,219,99,0
20260311124039048759,480,219,98,0
20260311124040050290,480,219,98,0
20260311124041055182,480,220,98,0
20260311124042063810,480,220,98,0
20260311124043056521,395,220,79,0
20260311124044057292,483,219,99,0
