timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260311124322603831,504,221,105,0
20260311124323607047,399,221,80,0
20260311124324604483,474,221,98,0
20260311124325607786,468,221,96,0
20260311124326610550,469,221,96,0
20260311124327614260,468,221,96,0
20260311124328611695,468,221,96,0
20260311124329614177,469,220,96,0
20260311124330614464,468,221,96,0
20260311124331616156,466,221,96,0
20260311124332616252,467,221,96,0
20260311124333619137,467,221,96,0
20260311124334619206,467,220,96,0
20260311124335621525,472,221,97,0
20260311124336788825,518,220,108,0
