timestamp,index,name,utilization.gpu,utilization.memory,memory.used,memory.total,power.draw,temperature.gpu
2026/03/14 13:17:25.679, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 4.31, 50
2026/03/14 13:17:26.696, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 4.31, 50
2026/03/14 13:17:27.697, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 4.29, 49
2026/03/14 13:17:28.718, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 8.71, 50
2026/03/14 13:17:29.719, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 11.19, 49
2026/03/14 13:17:33.743, 0, NVIDIA GB10, 7, 0, [N/A], [N/A], 12.08, 49
2026/03/14 13:17:34.743, 0, NVIDIA GB10, 24, 0, [N/A], [N/A], 11.88, 49
2026/03/14 13:17:35.745, 0, NVIDIA GB10, 24, 0, [N/A], [N/A], 11.79, 49
2026/03/14 13:17:36.745, 0, NVIDIA GB10, 24, 0, [N/A], [N/A], 11.93, 49
2026/03/14 13:17:37.745, 0, NVIDIA GB10, 24, 0, [N/A], [N/A], 11.77, 49
2026/03/14 13:17:38.746, 0, NVIDIA GB10, 25, 0, [N/A], [N/A], 11.95, 49
2026/03/14 13:17:39.746, 0, NVIDIA GB10, 24, 0, [N/A], [N/A], 11.81, 49
2026/03/14 13:17:40.746, 0, NVIDIA GB10, 24, 0, [N/A], [N/A], 11.94, 49
2026/03/14 13:17:41.747, 0, NVIDIA GB10, 25, 0, [N/A], [N/A], 11.77, 49
2026/03/14 13:17:42.748, 0, NVIDIA GB10, 24, 0, [N/A], [N/A], 11.92, 49
2026/03/14 13:17:43.748, 0, NVIDIA GB10, 9, 0, [N/A], [N/A], 11.49, 49
2026/03/14 13:17:44.748, 0, NVIDIA GB10, 10, 0, [N/A], [N/A], 11.41, 49
2026/03/14 13:17:45.748, 0, NVIDIA GB10, 10, 0, [N/A], [N/A], 11.40, 49
2026/03/14 13:17:46.748, 0, NVIDIA GB10, 10, 0, [N/A], [N/A], 11.43, 49
2026/03/14 13:17:47.749, 0, NVIDIA GB10, 10, 0, [N/A], [N/A], 11.42, 49
2026/03/14 13:17:48.749, 0, NVIDIA GB10, 10, 0, [N/A], [N/A], 11.38, 49
2026/03/14 13:17:49.750, 0, NVIDIA GB10, 9, 0, [N/A], [N/A], 11.37, 49
2026/03/14 13:17:50.750, 0, NVIDIA GB10, 8, 0, [N/A], [N/A], 11.33, 49
2026/03/14 13:17:51.751, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 23.49, 56
2026/03/14 13:17:52.751, 0, NVIDIA GB10, 89, 0, [N/A], [N/A], 43.12, 54
2026/03/14 13:17:53.752, 0, NVIDIA GB10, 90, 0, [N/A], [N/A], 35.26, 50
2026/03/14 13:17:54.753, 0, NVIDIA GB10, 96, 0, [N/A], [N/A], 67.16, 61
2026/03/14 13:17:55.753, 0, NVIDIA GB10, 96, 0, [N/A], [N/A], 88.35, 61
2026/03/14 13:17:56.753, 0, NVIDIA GB10, 92, 0, [N/A], [N/A], 76.11, 56
2026/03/14 13:17:57.755, 0, NVIDIA GB10, 91, 0, [N/A], [N/A], 45.01, 56
2026/03/14 13:17:58.755, 0, NVIDIA GB10, 88, 0, [N/A], [N/A], 35.54, 52
2026/03/14 13:17:59.756, 0, NVIDIA GB10, 96, 0, [N/A], [N/A], 76.89, 63
2026/03/14 13:18:00.757, 0, NVIDIA GB10, 95, 0, [N/A], [N/A], 88.47, 63
2026/03/14 13:18:01.757, 0, NVIDIA GB10, 91, 0, [N/A], [N/A], 57.29, 57
2026/03/14 13:18:02.758, 0, NVIDIA GB10, 89, 0, [N/A], [N/A], 45.41, 58
2026/03/14 13:18:03.759, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 41.01, 57
2026/03/14 13:18:04.760, 0, NVIDIA GB10, 91, 0, [N/A], [N/A], 34.42, 55
2026/03/14 13:18:05.761, 0, NVIDIA GB10, 90, 0, [N/A], [N/A], 51.56, 58
2026/03/14 13:18:06.762, 0, NVIDIA GB10, 91, 0, [N/A], [N/A], 35.38, 54
2026/03/14 13:18:07.762, 0, NVIDIA GB10, 89, 0, [N/A], [N/A], 49.58, 58
2026/03/14 13:18:08.763, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 40.27, 58
2026/03/14 13:18:09.764, 0, NVIDIA GB10, 89, 0, [N/A], [N/A], 44.21, 58
2026/03/14 13:18:10.765, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 47.81, 59
2026/03/14 13:18:11.766, 0, NVIDIA GB10, 90, 0, [N/A], [N/A], 42.01, 56
2026/03/14 13:18:12.767, 0, NVIDIA GB10, 92, 0, [N/A], [N/A], 47.11, 59
2026/03/14 13:18:13.768, 0, NVIDIA GB10, 53, 0, [N/A], [N/A], 37.36, 63
2026/03/14 13:18:14.769, 0, NVIDIA GB10, 91, 0, [N/A], [N/A], 47.79, 59
2026/03/14 13:18:15.770, 0, NVIDIA GB10, 91, 0, [N/A], [N/A], 37.30, 55
2026/03/14 13:18:16.771, 0, NVIDIA GB10, 89, 0, [N/A], [N/A], 53.63, 59
2026/03/14 13:18:17.772, 0, NVIDIA GB10, 91, 0, [N/A], [N/A], 36.09, 55
2026/03/14 13:18:18.773, 0, NVIDIA GB10, 91, 0, [N/A], [N/A], 50.11, 59
2026/03/14 13:18:19.773, 0, NVIDIA GB10, 96, 0, [N/A], [N/A], 45.10, 59
2026/03/14 13:18:20.774, 0, NVIDIA GB10, 91, 0, [N/A], [N/A], 44.58, 59
2026/03/14 13:18:21.775, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 54.96, 66
2026/03/14 13:18:22.776, 0, NVIDIA GB10, 95, 0, [N/A], [N/A], 91.05, 67
2026/03/14 13:18:23.776, 0, NVIDIA GB10, 96, 0, [N/A], [N/A], 72.48, 60
2026/03/14 13:18:24.777, 0, NVIDIA GB10, 88, 0, [N/A], [N/A], 45.96, 61
2026/03/14 13:18:25.778, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 52.74, 67
2026/03/14 13:18:26.778, 0, NVIDIA GB10, 95, 0, [N/A], [N/A], 91.00, 67
2026/03/14 13:18:27.779, 0, NVIDIA GB10, 96, 0, [N/A], [N/A], 74.90, 62
