timestamp,index,name,utilization.gpu,utilization.memory,memory.used,memory.total,power.draw,temperature.gpu
2026/03/14 14:48:49.623, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 4.20, 48
2026/03/14 14:48:50.639, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 4.20, 48
2026/03/14 14:48:51.639, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 5.73, 48
2026/03/14 14:48:52.640, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 11.68, 48
2026/03/14 14:48:53.640, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 11.08, 48
2026/03/14 14:48:54.641, 0, NVIDIA GB10, 10, 0, [N/A], [N/A], 11.76, 48
2026/03/14 14:48:55.641, 0, NVIDIA GB10, 12, 0, [N/A], [N/A], 11.87, 48
2026/03/14 14:48:56.641, 0, NVIDIA GB10, 11, 0, [N/A], [N/A], 11.74, 48
2026/03/14 14:48:57.642, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 19.72, 52
2026/03/14 14:48:58.643, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 41.38, 51
2026/03/14 14:48:59.644, 0, NVIDIA GB10, 96, 0, [N/A], [N/A], 72.93, 60
2026/03/14 14:49:00.645, 0, NVIDIA GB10, 96, 0, [N/A], [N/A], 78.09, 56
2026/03/14 14:49:01.646, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 45.11, 55
2026/03/14 14:49:02.646, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 45.19, 56
2026/03/14 14:49:03.647, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 45.14, 56
2026/03/14 14:49:04.648, 0, NVIDIA GB10, 96, 0, [N/A], [N/A], 66.12, 62
2026/03/14 14:49:05.648, 0, NVIDIA GB10, 96, 0, [N/A], [N/A], 78.69, 58
2026/03/14 14:49:06.649, 0, NVIDIA GB10, 91, 0, [N/A], [N/A], 45.46, 57
2026/03/14 14:49:07.650, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 45.52, 57
2026/03/14 14:49:08.651, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 45.60, 58
2026/03/14 14:49:09.652, 0, NVIDIA GB10, 92, 0, [N/A], [N/A], 35.02, 58
2026/03/14 14:49:10.653, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 44.26, 56
2026/03/14 14:49:11.653, 0, NVIDIA GB10, 94, 0, [N/A], [N/A], 40.14, 58
2026/03/14 14:49:12.654, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 38.52, 54
2026/03/14 14:49:13.655, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 46.96, 58
2026/03/14 14:49:14.655, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 40.45, 57
2026/03/14 14:49:15.656, 0, NVIDIA GB10, 92, 0, [N/A], [N/A], 40.98, 58
2026/03/14 14:49:16.657, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 45.30, 58
2026/03/14 14:49:17.658, 0, NVIDIA GB10, 89, 0, [N/A], [N/A], 40.28, 59
2026/03/14 14:49:18.659, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 45.47, 59
2026/03/14 14:49:19.659, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 39.06, 59
2026/03/14 14:49:20.660, 0, NVIDIA GB10, 91, 0, [N/A], [N/A], 40.01, 61
2026/03/14 14:49:21.661, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 45.30, 59
2026/03/14 14:49:22.662, 0, NVIDIA GB10, 38, 0, [N/A], [N/A], 60.32, 65
2026/03/14 14:49:23.662, 0, NVIDIA GB10, 96, 0, [N/A], [N/A], 84.74, 65
2026/03/14 14:49:24.663, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 45.95, 60
2026/03/14 14:49:25.664, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 46.01, 60
2026/03/14 14:49:26.664, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 45.99, 60
2026/03/14 14:49:27.665, 0, NVIDIA GB10, 64, 0, [N/A], [N/A], 63.28, 66
2026/03/14 14:49:28.666, 0, NVIDIA GB10, 96, 0, [N/A], [N/A], 84.19, 63
2026/03/14 14:49:29.667, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 46.13, 61
2026/03/14 14:49:30.668, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 46.20, 61
2026/03/14 14:49:31.668, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 46.16, 61
2026/03/14 14:49:32.669, 0, NVIDIA GB10, 89, 0, [N/A], [N/A], 64.02, 67
2026/03/14 14:49:33.670, 0, NVIDIA GB10, 90, 0, [N/A], [N/A], 57.90, 61
2026/03/14 14:49:34.670, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 46.17, 62
2026/03/14 14:49:35.671, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 46.06, 62
2026/03/14 14:49:36.672, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 55.34, 67
2026/03/14 14:49:37.672, 0, NVIDIA GB10, 96, 0, [N/A], [N/A], 64.21, 62
2026/03/14 14:49:38.673, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 46.22, 62
2026/03/14 14:49:39.674, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 46.24, 62
2026/03/14 14:49:40.674, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 46.34, 62
2026/03/14 14:49:41.674, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 46.95, 67
2026/03/14 14:49:42.675, 0, NVIDIA GB10, 95, 0, [N/A], [N/A], 63.37, 63
2026/03/14 14:49:43.676, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 46.13, 62
2026/03/14 14:49:44.676, 0, NVIDIA GB10, 25, 0, [N/A], [N/A], 57.77, 68
2026/03/14 14:49:45.677, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 59.53, 63
2026/03/14 14:49:46.678, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 52.59, 68
2026/03/14 14:49:47.678, 0, NVIDIA GB10, 96, 0, [N/A], [N/A], 76.19, 63
2026/03/14 14:49:48.679, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 46.41, 63
2026/03/14 14:49:49.680, 0, NVIDIA GB10, 79, 0, [N/A], [N/A], 62.90, 69
