timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260311114954139766,533,222,112,0
20260311114955140641,591,222,125,0
20260311114956141040,600,222,127,0
20260311114957142746,608,222,129,0
20260311114958143334,598,222,127,0
20260311114959144616,599,222,127,0
20260311115000147030,599,222,127,0
20260311115001148388,598,222,127,0
20260311115002149826,602,222,128,0
20260311115003151978,608,222,129,0
20260311115004152678,598,222,127,0
20260311115005154956,598,222,127,0
20260311115006156940,598,222,127,0
20260311115007159820,599,222,127,0
20260311115008160072,604,222,128,0
20260311115009160431,608,222,129,0
20260311115010163164,598,222,127,0
20260311115011164505,598,222,127,0
20260311115012166174,598,222,127,0
20260311115013167833,598,222,127,0
20260311115014168158,606,222,128,0
20260311115015168926,616,222,131,0
20260311115016171648,625,222,133,0
