timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260311121533592770,481,219,99,0
20260311121534596273,401,219,80,0
20260311121535592942,477,219,97,0
20260311121536600328,480,219,98,0
20260311121537601107,481,219,98,0
20260311121538601572,484,219,99,0
20260311121539604674,483,219,99,0
20260311121540605569,482,219,99,0
20260311121541604129,482,219,99,0
20260311121542607480,484,219,99,0
20260311121543610090,425,219,85,0
20260311121544608943,396,219,79,0
20260311121545609839,501,219,103,0
