loop_bandwidth_limit	mean_goodput
250	224.06874428985083
500	420.5853700011823
750	600.9924058044478
1000	661.8363089685166
1250	688.8266532744735
1500	690.3586151570989
1750	709.8786312129145
2000	716.4693438802146
