timestamp,index,name,utilization.gpu,utilization.memory,memory.used,memory.total,power.draw,temperature.gpu
2026/03/14 14:40:02.265, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 4.37, 51
2026/03/14 14:40:03.281, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 4.31, 51
2026/03/14 14:40:04.282, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 4.31, 51
2026/03/14 14:40:05.282, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 7.21, 52
2026/03/14 14:40:06.307, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 12.02, 52
2026/03/14 14:40:07.307, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 11.54, 52
2026/03/14 14:40:08.309, 0, NVIDIA GB10, 6, 0, [N/A], [N/A], 12.53, 52
2026/03/14 14:40:09.310, 0, NVIDIA GB10, 24, 0, [N/A], [N/A], 12.61, 52
2026/03/14 14:40:10.310, 0, NVIDIA GB10, 3, 0, [N/A], [N/A], 13.93, 53
2026/03/14 14:40:11.311, 0, NVIDIA GB10, 90, 0, [N/A], [N/A], 44.01, 57
2026/03/14 14:40:12.311, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 34.05, 61
2026/03/14 14:40:13.312, 0, NVIDIA GB10, 96, 0, [N/A], [N/A], 82.45, 63
2026/03/14 14:40:14.312, 0, NVIDIA GB10, 94, 0, [N/A], [N/A], 62.78, 58
2026/03/14 14:40:15.313, 0, NVIDIA GB10, 91, 0, [N/A], [N/A], 43.95, 59
2026/03/14 14:40:16.314, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 33.81, 55
2026/03/14 14:40:17.315, 0, NVIDIA GB10, 96, 0, [N/A], [N/A], 64.45, 64
2026/03/14 14:40:18.315, 0, NVIDIA GB10, 96, 0, [N/A], [N/A], 80.23, 61
2026/03/14 14:40:19.316, 0, NVIDIA GB10, 90, 0, [N/A], [N/A], 44.46, 60
2026/03/14 14:40:20.317, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 44.75, 60
2026/03/14 14:40:21.318, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 37.12, 60
2026/03/14 14:40:22.318, 0, NVIDIA GB10, 29, 0, [N/A], [N/A], 34.79, 60
2026/03/14 14:40:23.318, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 40.67, 57
2026/03/14 14:40:24.319, 0, NVIDIA GB10, 89, 0, [N/A], [N/A], 34.39, 60
2026/03/14 14:40:25.319, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 33.98, 61
2026/03/14 14:40:26.320, 0, NVIDIA GB10, 88, 0, [N/A], [N/A], 32.33, 56
2026/03/14 14:40:27.321, 0, NVIDIA GB10, 92, 0, [N/A], [N/A], 33.36, 56
2026/03/14 14:40:28.322, 0, NVIDIA GB10, 35, 0, [N/A], [N/A], 33.19, 61
2026/03/14 14:40:29.322, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 45.35, 61
2026/03/14 14:40:30.322, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 37.41, 61
2026/03/14 14:40:31.323, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 31.31, 61
2026/03/14 14:40:32.323, 0, NVIDIA GB10, 1, 0, [N/A], [N/A], 34.81, 61
2026/03/14 14:40:33.324, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 36.98, 66
2026/03/14 14:40:34.324, 0, NVIDIA GB10, 96, 0, [N/A], [N/A], 83.47, 67
2026/03/14 14:40:35.324, 0, NVIDIA GB10, 90, 0, [N/A], [N/A], 60.76, 62
2026/03/14 14:40:36.325, 0, NVIDIA GB10, 92, 0, [N/A], [N/A], 44.90, 62
2026/03/14 14:40:37.325, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 33.02, 66
2026/03/14 14:40:38.326, 0, NVIDIA GB10, 94, 0, [N/A], [N/A], 83.19, 68
2026/03/14 14:40:39.326, 0, NVIDIA GB10, 95, 0, [N/A], [N/A], 66.63, 63
2026/03/14 14:40:40.327, 0, NVIDIA GB10, 92, 0, [N/A], [N/A], 45.30, 63
2026/03/14 14:40:41.327, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 31.80, 59
2026/03/14 14:40:42.328, 0, NVIDIA GB10, 96, 0, [N/A], [N/A], 82.08, 69
2026/03/14 14:40:43.328, 0, NVIDIA GB10, 88, 0, [N/A], [N/A], 49.19, 64
2026/03/14 14:40:44.329, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 45.42, 64
2026/03/14 14:40:45.330, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 45.44, 64
2026/03/14 14:40:46.330, 0, NVIDIA GB10, 91, 0, [N/A], [N/A], 36.61, 60
2026/03/14 14:40:47.331, 0, NVIDIA GB10, 94, 0, [N/A], [N/A], 70.55, 69
2026/03/14 14:40:48.332, 0, NVIDIA GB10, 92, 0, [N/A], [N/A], 54.85, 65
2026/03/14 14:40:49.332, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 45.32, 64
2026/03/14 14:40:50.333, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 45.56, 65
2026/03/14 14:40:51.334, 0, NVIDIA GB10, 92, 0, [N/A], [N/A], 42.39, 61
2026/03/14 14:40:52.334, 0, NVIDIA GB10, 96, 0, [N/A], [N/A], 59.55, 70
2026/03/14 14:40:53.335, 0, NVIDIA GB10, 86, 0, [N/A], [N/A], 49.49, 65
2026/03/14 14:40:54.335, 0, NVIDIA GB10, 92, 0, [N/A], [N/A], 45.51, 65
2026/03/14 14:40:55.336, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 46.31, 70
2026/03/14 14:40:56.336, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 63.71, 66
2026/03/14 14:40:57.337, 0, NVIDIA GB10, 90, 0, [N/A], [N/A], 38.48, 61
2026/03/14 14:40:58.338, 0, NVIDIA GB10, 96, 0, [N/A], [N/A], 66.74, 71
2026/03/14 14:40:59.339, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 58.59, 66
2026/03/14 14:41:00.339, 0, NVIDIA GB10, 11, 0, [N/A], [N/A], 36.82, 70
2026/03/14 14:41:01.340, 0, NVIDIA GB10, 96, 0, [N/A], [N/A], 77.01, 67
2026/03/14 14:41:02.341, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 45.99, 66
2026/03/14 14:41:03.342, 0, NVIDIA GB10, 90, 0, [N/A], [N/A], 45.99, 66
2026/03/14 14:41:04.343, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 43.43, 71
2026/03/14 14:41:05.344, 0, NVIDIA GB10, 94, 0, [N/A], [N/A], 70.58, 67
2026/03/14 14:41:06.345, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 41.33, 63
2026/03/14 14:41:07.345, 0, NVIDIA GB10, 94, 0, [N/A], [N/A], 69.10, 72
2026/03/14 14:41:08.346, 0, NVIDIA GB10, 96, 0, [N/A], [N/A], 65.19, 67
2026/03/14 14:41:09.347, 0, NVIDIA GB10, 92, 0, [N/A], [N/A], 34.15, 63
2026/03/14 14:41:10.347, 0, NVIDIA GB10, 91, 0, [N/A], [N/A], 47.32, 65
