timestamp,index,name,utilization.gpu,utilization.memory,memory.used,memory.total,power.draw,temperature.gpu
2026/03/14 15:36:13.089, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 4.43, 48
2026/03/14 15:36:14.105, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 4.38, 48
2026/03/14 15:36:15.105, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 6.21, 48
2026/03/14 15:36:16.106, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 12.86, 48
2026/03/14 15:36:17.107, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 14.36, 49
2026/03/14 15:36:18.107, 0, NVIDIA GB10, 10, 0, [N/A], [N/A], 13.42, 48
2026/03/14 15:36:19.108, 0, NVIDIA GB10, 12, 0, [N/A], [N/A], 11.92, 48
2026/03/14 15:36:20.108, 0, NVIDIA GB10, 11, 0, [N/A], [N/A], 11.77, 48
2026/03/14 15:36:21.109, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 24.95, 53
2026/03/14 15:36:22.110, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 38.25, 49
2026/03/14 15:36:23.110, 0, NVIDIA GB10, 96, 0, [N/A], [N/A], 85.00, 60
2026/03/14 15:36:24.111, 0, NVIDIA GB10, 96, 0, [N/A], [N/A], 69.99, 55
2026/03/14 15:36:25.111, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 44.99, 55
2026/03/14 15:36:26.112, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 45.04, 56
2026/03/14 15:36:27.113, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 39.86, 52
2026/03/14 15:36:28.114, 0, NVIDIA GB10, 96, 0, [N/A], [N/A], 78.52, 62
2026/03/14 15:36:29.115, 0, NVIDIA GB10, 96, 0, [N/A], [N/A], 71.53, 57
2026/03/14 15:36:30.115, 0, NVIDIA GB10, 92, 0, [N/A], [N/A], 45.33, 57
2026/03/14 15:36:31.116, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 45.32, 57
2026/03/14 15:36:32.117, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 40.37, 54
2026/03/14 15:36:33.118, 0, NVIDIA GB10, 94, 0, [N/A], [N/A], 41.47, 58
2026/03/14 15:36:34.119, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 39.68, 55
2026/03/14 15:36:35.120, 0, NVIDIA GB10, 84, 0, [N/A], [N/A], 40.84, 58
2026/03/14 15:36:36.120, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 38.72, 55
2026/03/14 15:36:37.121, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 45.81, 58
2026/03/14 15:36:38.122, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 41.83, 58
2026/03/14 15:36:39.123, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 40.30, 58
2026/03/14 15:36:40.123, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 44.95, 58
2026/03/14 15:36:41.124, 0, NVIDIA GB10, 92, 0, [N/A], [N/A], 41.42, 58
2026/03/14 15:36:42.125, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 45.11, 59
2026/03/14 15:36:43.125, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 40.14, 59
2026/03/14 15:36:44.126, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 40.87, 59
2026/03/14 15:36:45.127, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 44.67, 59
2026/03/14 15:36:46.127, 0, NVIDIA GB10, 96, 0, [N/A], [N/A], 69.79, 65
2026/03/14 15:36:47.128, 0, NVIDIA GB10, 96, 0, [N/A], [N/A], 77.33, 60
2026/03/14 15:36:48.128, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 45.81, 60
2026/03/14 15:36:49.129, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 45.89, 60
2026/03/14 15:36:50.130, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 45.54, 60
2026/03/14 15:36:51.131, 0, NVIDIA GB10, 96, 0, [N/A], [N/A], 68.69, 66
2026/03/14 15:36:52.131, 0, NVIDIA GB10, 96, 0, [N/A], [N/A], 78.47, 61
2026/03/14 15:36:53.132, 0, NVIDIA GB10, 92, 0, [N/A], [N/A], 46.00, 61
2026/03/14 15:36:54.133, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 45.98, 61
2026/03/14 15:36:55.133, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 45.96, 61
2026/03/14 15:36:56.134, 0, NVIDIA GB10, 96, 0, [N/A], [N/A], 67.30, 67
2026/03/14 15:36:57.134, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 53.54, 61
2026/03/14 15:36:58.135, 0, NVIDIA GB10, 91, 0, [N/A], [N/A], 45.87, 61
2026/03/14 15:36:59.135, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 45.85, 62
2026/03/14 15:37:00.136, 0, NVIDIA GB10, 57, 0, [N/A], [N/A], 61.06, 67
2026/03/14 15:37:01.137, 0, NVIDIA GB10, 89, 0, [N/A], [N/A], 59.78, 62
2026/03/14 15:37:02.138, 0, NVIDIA GB10, 92, 0, [N/A], [N/A], 46.01, 62
2026/03/14 15:37:03.139, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 46.03, 62
2026/03/14 15:37:04.139, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 46.01, 62
2026/03/14 15:37:05.140, 0, NVIDIA GB10, 35, 0, [N/A], [N/A], 50.93, 67
2026/03/14 15:37:06.141, 0, NVIDIA GB10, 92, 0, [N/A], [N/A], 59.44, 62
2026/03/14 15:37:07.141, 0, NVIDIA GB10, 91, 0, [N/A], [N/A], 46.00, 62
2026/03/14 15:37:08.142, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 59.33, 68
2026/03/14 15:37:09.143, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 56.96, 63
2026/03/14 15:37:10.144, 0, NVIDIA GB10, 83, 0, [N/A], [N/A], 49.65, 68
2026/03/14 15:37:11.145, 0, NVIDIA GB10, 96, 0, [N/A], [N/A], 76.76, 63
2026/03/14 15:37:12.146, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 46.08, 63
2026/03/14 15:37:13.146, 0, NVIDIA GB10, 96, 0, [N/A], [N/A], 64.38, 69
2026/03/14 15:37:14.147, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 55.55, 63
2026/03/14 15:37:15.147, 0, NVIDIA GB10, 93, 0, [N/A], [N/A], 46.22, 63
