timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260311122140629939,476,220,98,0
20260311122141631953,400,220,80,0
20260311122142629320,475,220,98,0
20260311122143634965,478,220,98,0
20260311122144638425,481,220,99,0
20260311122145637374,480,220,98,0
20260311122146640668,483,220,99,0
20260311122147641102,481,220,99,0
20260311122148641707,482,220,99,0
20260311122149643558,480,220,99,0
20260311122150643288,437,220,88,0
20260311122151655335,395,220,79,0
20260311122152647542,489,220,101,0
