timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260311115609962941,535,222,112,1
20260311115610964741,581,222,129,0
20260311115611966525,625,222,133,0
20260311115612967970,625,221,133,0
20260311115613969233,631,221,134,0
20260311115614970770,636,222,135,0
20260311115615973932,628,222,133,0
20260311115616974073,627,222,133,0
20260311115617976196,629,221,133,0
20260311115618976533,629,221,133,0
20260311115619979093,632,221,134,0
20260311115620979417,639,221,136,0
20260311115621981561,632,221,134,0
20260311115622984081,630,221,134,0
