timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260311124004954736,513,220,106,0
20260311124005962723,416,220,83,0
20260311124006961846,452,220,92,0
20260311124007962509,415,220,83,0
20260311124008970959,480,219,98,0
20260311124009977009,480,219,98,0
20260311124010992777,479,219,98,0
20260311124011974188,482,219,99,0
20260311124012979423,483,219,99,0
20260311124013979709,484,219,99,0
20260311124014981238,482,219,99,0
20260311124015981468,481,219,99,0
20260311124016998043,482,219,99,0
20260311124017983585,481,220,99,0
20260311124018983814,396,220,79,0
20260311124019984545,483,219,99,0
