timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260311120311190317,533,222,112,1
20260311120312191219,600,221,127,0
20260311120313192226,617,221,131,0
20260311120314192607,630,221,134,0
20260311120315193519,634,222,135,0
20260311120316193994,626,222,133,0
20260311120317194847,627,222,133,0
20260311120318195346,627,222,133,0
20260311120319195682,628,222,133,0
20260311120320196379,628,221,133,0
20260311120321196840,636,221,135,0
20260311120322198035,629,221,133,0
20260311120323198306,632,221,134,0
20260311120324199913,630,221,134,0
