timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260311122724616379,538,220,112,1
20260311122725616913,616,220,130,0
20260311122726618085,641,220,135,0
20260311122727618023,634,220,134,0
20260311122728621833,634,219,133,0
20260311122729620074,634,219,133,0
20260311122730622115,633,219,133,0
20260311122731624607,633,219,133,0
20260311122732624715,642,220,135,0
20260311122733625981,633,220,133,0
20260311122734629886,633,219,133,0
20260311122735629010,637,219,134,0
20260311122736630817,633,220,134,0
20260311122737629877,635,219,134,0
